	overall	DDF Tumor	HUH7	Hep3B	HepG2	NAT	Standard Tumor
ZN713.H14CORE.0.SM.B	5.799884638576583	6.709183895040985	0.7068617626671225	0.6541327290867469	0.6529261568730571	12.080607762649663	3.086078859523648
ZN557.H14CORE.0.P.C	1.150655820380378	1.290602952818139	0.751373198045557	1.5602511395850471	0.5676359353284806	1.672526855476781	0.39986870513158945
ZN605.H14CORE.0.P.C	6.808982941432355	3.318148586903131	2.5556955488189583	2.85545687745636	4.000683872372571	14.757476319075968	4.323145806414321
ERR1.H14CORE.0.PSM.A	4.592024825234269	8.083241593328381	2.7313502755263586	0.27376482100137056	1.8357464474711045	7.042943645092045	0.8204362285466972
E2F4.H14CORE.2.S.B	5.570157189231363	0.2937965414589328	2.119889539460673	0.4037161376758809	2.5470453634095365	12.768640089491	3.4483419307174734
HNF4A.H14CORE.0.PSM.A	16.056539263999632	33.258707818518616	1.488579556851523	6.878421773275328	3.3379107902085705	19.493769161596436	0.23629071804958152
ATMIN.H14CORE.0.P.B	2.747730642040702	0.37416855790739023	3.668764394350686	1.508650354722341	4.1631360502035415	3.0281684872730357	1.7096127466923443
BATF.H14CORE.0.P.B	6.2839857663886844	7.025114893259011	3.9083216025000436	2.0898483262572163	1.0622930752811035	12.580699772564163	2.921250808994191
ZN429.H14CORE.0.P.C	5.453598458812858	8.198607564102721	1.328266644179716	0.17039757777388015	0.14525257306887224	10.267738775619803	1.9980904440821272
ZN506.H14CORE.0.P.C	4.026530779400369	1.267931638979836	0.31621190917012765	2.9554285692888964	2.099853318937011	8.314316089055655	3.6466787730995245
ZNF90.H14CORE.0.P.C	4.135679270900517	9.622622643445581	0.9831663614274594	1.3778751446393052	0.5199550875970557	0.9479354672674754	2.4482852572171407
AHR.H14CORE.0.P.B	2.2509595399744606	1.96129207362585	0.24147853601912705	2.1287370158651795	1.7475467911494103	3.531663942291853	2.5372905531158754
VEZF1.H14CORE.0.P.C	1.8914587455431127	3.6773693677234287	1.2475067302801701	0.7639216698990448	0.5589490282988409	1.751332144942613	1.5566675919724695
FOXE1.H14CORE.1.S.C	9.510949684366238	10.68656541331885	5.650600027257446	5.2071037872990695	1.5662654025160963	18.79300714698137	3.7246191215716205
ZN267.H14CORE.0.P.C	1.8246715738438304	0.7415219450295873	1.6067928388081774	0.8824598325447355	0.5721370345860202	3.587514900245342	1.6936885164263562
TBX5.H14CORE.1.P.B	2.9751044601765213	5.888038688373146	0.2401588798149018	3.4695635992585854	1.9097711742608718	1.4688882481808305	0.733534741821264
ZN568.H14CORE.0.SG.A	4.636748204030122	3.2213621565417934	0.407941720391762	0.49196127335477124	0.21307882495963612	10.347278884258559	3.3315768137435335
ZBT40.H14CORE.0.PSG.A	2.172460010282062	1.2794144960278795	3.431390023574256	0.1494319587115303	2.815671735110548	2.203741812998462	1.4489102189489385
BARX1.H14CORE.0.P.C	6.142986748388378	5.539245786345841	0.573134101335218	2.994597498367119	3.2516868992368573	12.843046638361159	3.3047029734263202
SATB1.H14CORE.0.P.B	1.7585764601797627	3.3493162031496047	0.2352243213266694	0.9363834648234188	1.0296331208382732	1.8339490444327826	1.4078245748204705
ZN724.H14CORE.0.PSG.A	3.4042809490427053	3.250763191029351	4.430677676136378	0.9043694080208394	2.6214007313761316	5.518399193941682	1.0927264990868217
ZN274.H14CORE.2.P.B	5.378639045862014	0.3271688562272918	3.7370068298217576	6.285085155909749	7.9152757717461615	6.915408234646786	3.0869939092521173
ATF1.H14CORE.1.P.B	4.601371665819827	1.1390550682417193	1.1064029906739323	1.0513033610168752	0.2357430555781071	10.58526620035451	3.362362136696683
NANOG.H14CORE.0.P.B	3.097365829298623	2.465614079848885	4.157486322958834	2.3856808935309166	1.7347949273469372	4.8689700524174	1.3380018795416593
ZFP91.H14CORE.0.SGI.A	4.329999933498484	7.2181663230009745	0.2227098378226335	0.9213036679187673	1.5591280580012776	7.402952105397667	1.50282772852835
PIT1.H14CORE.0.SM.B	4.289242861551838	7.444983245939035	0.756716433364302	4.645645566274599	2.2910101100277713	5.237596114664278	0.34938166431741385
ZN507.H14CORE.0.I.B	2.1769218907267063	0.8051315989254653	2.455699095987295	0.9282323279301613	2.6413880973164336	3.3308700963083924	1.6798799464809027
ZN470.H14CORE.0.PSG.A	3.55492619309705	2.4014068491275458	1.821353188785997	5.272311826186553	5.374362249669669	3.160933394529196	0.26149116427982577
HSF1.H14CORE.1.P.B	5.05912110212681	2.811680157745338	3.878732282337663	0.6702793879485546	2.2153071195073837	10.673983918465279	3.365610753651914
NFIC.H14CORE.1.PSM.A	6.4197217367584205	11.593962320289112	2.1639414880746806	0.010811144904619832	2.9174710271207944	9.919796401942978	1.1226055787374787
