	mean
ASPM	3.361178942547526
ELOVL1	2.139385641508717
MPPED2	-2.6269053465298784
CLDN18	-2.6004044757762097
ZBTB11	-1.0554714189971117
ATXN3	1.0603541814728112
GOLGA5	2.2529839118401025
FGFR2	-1.4687575701756261
LRRC40	2.036553196364361
ISOC1	0.9445265424678736
EML1	-0.06511406497879493
TRMT11	-0.6064974272051868
THUMPD1	1.158228597777455
MSANTD3	0.3098779576945728
KIF26A	1.6500010302595534
ATG2B	2.031405773749646
ARFGEF1	0.4084592943225438
ZFAT	0.0005564825916208805
MTFR1	0.8518124491074698
FECH	2.7132732183652313
MYO9A	-0.3333175745318008
DDX3Y	-6.866645900159149
PFKP	1.7784141686951147
IDI1	2.5160502296904497
SP100	-2.655664526539626
KLF6	2.248087438485733
NEO1	0.5223224427383373
TRAM1	2.2124012797555777
PHKA1	0.2518823777264826
TNFRSF1A	0.07056912196692973
CACNB1	1.3753757422166897
EVI5	-1.2855032186251174
STOML1	-1.1066875855922407
PKM	2.2210903666683603
DHX29	2.7420971718257023
DNTTIP2	2.5770718860826465
METTL22	-1.176636542034124
TP53BP1	0.18574394165157454
TRO	1.127877910795513
RRP15	0.8820553795350803
RHOA	2.1060815865062152
DHX8	-0.11886839851673191
PRKCZ	-1.5053178165967467
ZFY	-8.682133250765242
IARS2	1.542034007235797
SYT1	2.418049804781199
NAV3	-1.9293781847189553
IDH3G	0.7821600761813065
ROGDI	1.9556339044792828
PDZD4	1.2647340782475163
ATP2B3	-3.856684969385802
ROCK1	1.8435084070338865
CBFB	0.22067638047015903
PDK3	-1.1498664015214677
HYAL2	-0.1037589973925156
HDAC4	-0.3777505324148751
RASSF1	-0.585546920064519
FGFR3	0.3844801348280423
IFI35	-1.1345372193780414
HEATR6	0.2723297110597112
COASY	0.13091086790400278
PLEKHH3	2.097194350098681
MEF2A	1.7328086732591035
OTUD5	-1.4083045422529572
TFE3	0.49433917081902445
TBC1D25	0.9008156312971444
ACSL4	-0.03610802305431455
INPP5A	0.35047232900360603
GPKOW	2.276953097245227
GRIPAP1	2.1401473866057494
FTSJ1	0.9962813217885319
PRR11	1.6752597945481964
REEP1	-0.12427317097730328
ATP11A	0.8207928557202393
POLR1A	1.7964205003853644
LAPTM4A	1.9121407656757796
TTC7A	-0.9369038983623161
IP6K2	0.8811010700067515
SRBD1	0.3555751745515794
KIF2A	0.22216190831984728
PSME4	2.1682728540296323
IFT80	-1.453862682219186
SIRT2	0.35492540813940415
ERLEC1	0.8256726244590233
PPP2R5B	-0.7184668251230587
PITX1	-1.2441238034769824
MAST4	0.014617336254148895
SDK2	0.8232698792943259
NUP133	1.1085743067528435
NUCKS1	5.067020732616866
VPS35	0.6166640440013191
DNAJA2	-1.5522990555560436
KCNAB2	-0.13085963043992402
CLEC2D	-0.7358185435043393
FUNDC1	-0.1958743104751912
MAOB	-0.6579591833470477
RORA	1.0250126849177745
TGFBR3	-0.7548759402176478
HES2	-3.703775889753113
ATP1B3	-0.3302601193907418
NEDD4	-1.1706813578003075
PIGB	-1.8337702560939109
MAPK6	-0.7397828466483777
GNB5	0.7724254178864702
RAB27A	0.9161897188981069
LRP6	0.18357825645177506
PHRF1	-0.10355969844416256
NUCB2	1.9837457752672791
PFN2	1.7354503372657821
PTPN3	1.1836101000790236
SPTB	1.8219139149758936
SLC44A1	2.6508861824822736
TMEM260	0.3324779811834549
SMG6	0.26422867554897755
EXOC5	1.9612521926079278
CLTCL1	0.485524136951188
FSTL3	-4.185789042106249
DGCR2	1.1665907955129207
RNF126	0.8311390038733864
MNT	-0.7615083542791959
ZXDC	0.30770494840860946
JMJD6	-1.6208053633466135
POLB	0.4766537164544268
WIPI1	-2.3192351369808546
FRMPD1	-1.6214442102910607
GBA2	1.8020301807337997
NDST1	2.1162545492145832
ASNS	2.219793760216979
AP3M2	-0.7744034647764065
ST6GALNAC2	-1.226910356673239
PABPC1	2.305666906171619
TESK2	0.005365089531192109
CFAP20	0.8282911886201625
CSNK2A2	0.7987739722333856
PTPN21	-2.613556750198025
EIF2B3	0.6811256638050064
TCOF1	1.4268969536206333
CDC42	1.018261537132394
OSBPL3	2.624937855770602
EPHA8	-2.2007288559707585
RAD18	-1.0105033886277446
ATP2B1	0.8258033288691157
NCK2	-0.4362706207883618
MAP4K4	2.6535135671558674
MGAT4A	0.9716953792151282
RPL31	3.0250638860225494
WDR1	1.9094645263852374
SNX13	-0.0027391154665871416
ARHGAP10	-2.5711782968559858
RPS6KA2	-1.401838225157522
ING3	-0.8120354991540776
VASH1	1.2009028321664101
LMCD1	-0.7155013784785554
SEL1L	2.7998070340605974
TRIP13	2.3090237448995126
ATP6AP1	1.1037357346996717
TCF3	3.635333824472599
TRIB2	2.3827372124559965
DAZAP1	2.003095048969392
MBD3	1.0948792701573395
HLTF	2.8133349292410403
FAM50A	1.7780148882202158
FAM3A	-0.2489057105264009
